PopSet,LinePair,JointScaleCrossType,AliveYoN,SizeCat,FruitNum,SeedNumPerFruit,FxS,Cumulfit
CR,CR1,BC1P2,1,1,88,53,4664,4664
BS,BS2,BC1P1,1,0,118,22,2596,2596
CR,CR2,rF1,1,1,113,44,4972,4972
BS,BS2,rF2,1,0,61,29,1769,1769
CR,CR1,P1,1,1,119,49,5831,5831
CR,CR2,F2,1,1,95,64,6080,6080
CR,CR2,F2,1,1,91,56,5096,5096
BS,BS2,rF1,1,1,138,45,6210,6210
CR,CR1,BC1P1,1,1,124,50,6200,6200
BS,BS1,F2,1,1,136,12,1632,1632
BS,BS1,F2,1,1,65,44,2860,2860
CR,CR1,BC1P1,1,1,107,55,5885,5885
BS,BS1,BC1P2,1,1,119,52,6188,6188
CR,CR2,F2,1,1,89,60,5340,5340
CR,CR1,P2,0,,,,,0
CR,CR1,BC1P2,1,1,115,47,5405,5405
CR,CR1,F2,1,1,103,44,4532,4532
BS,BS1,F2,1,1,104,54,5616,5616
CR,CR1,F2,1,1,132,57,7524,7524
BS,BS2,BC1P1,1,0,96,31,2976,2976
BS,BS2,rF1,1,0,124,26,3224,3224
CR,CR2,BC1P1,1,1,144,45,6480,6480
CR,CR2,rF2,1,1,117,44,5148,5148
CR,CR2,BC1P2,1,1,106,47,4982,4982
CR,CR1,P1,1,1,104,44,4576,4576
CR,CR1,F2,1,1,102,47,4794,4794
BS,BS2,P2,0,,,,,0
BS,BS1,rF2,1,1,138,50,6900,6900
BS,BS1,rF2,1,1,126,28,3528,3528
CR,CR2,F2,1,1,133,51,6783,6783
CR,CR1,P1,0,,,,,0
BS,BS1,BC1P2,1,1,48,39,1872,1872
CR,CR2,BC1P1,1,1,117,40,4680,4680
CR,CR1,BC1P2,1,1,94,42,3948,3948
CR,CR2,rF2,1,1,101,55,5555,5555
BS,BS2,BC1P1,1,0,131,26,3406,3406
CR,CR1,rF2,1,1,113,43,4859,4859
BS,BS1,rF1,1,0,97,20,1940,1940
BS,BS1,BC1P1,1,1,92,59,5428,5428
CR,CR1,P2,1,1,63,49,3087,3087
CR,CR2,BC1P1,1,1,115,41,4715,4715
CR,CR1,F2,1,1,126,36,4536,4536
CR,CR1,F1,1,1,130,47,6110,6110
CR,CR1,rF2,1,1,93,38,3534,3534
BS,BS2,rF2,1,1,139,,,
CR,CR1,BC1P2,1,1,99,43,4257,4257
BS,BS2,rF2,1,1,135,49,6615,6615
CR,CR2,rF2,1,1,123,29,3567,3567
BS,BS1,rF2,1,0,150,17,2550,2550
CR,CR1,F1,1,1,87,46,4002,4002
BS,BS1,BC1P2,0,,,,,0
BS,BS2,rF2,1,1,130,14,1820,1820
CR,CR2,P2,1,1,46,52,2392,2392
BS,BS1,P2,1,1,84,36,3024,3024
BS,BS2,BC1P1,1,1,120,43,5160,5160
CR,CR2,F2,1,1,84,42,3528,3528
BS,BS2,rF1,1,0,77,32,2464,2464
BS,BS2,rF2,1,1,115,48,5520,5520
BS,BS1,rF2,1,0,13,15,195,195
CR,CR1,F2,1,1,53,45,2385,2385
CR,CR1,F2,1,1,89,44,3916,3916
CR,CR2,F2,1,1,63,41,2583,2583
CR,CR1,BC1P1,1,1,98,45,4410,4410
CR,CR2,BC1P1,1,1,105,58,6090,6090
CR,CR2,BC1P1,1,1,98,45,4410,4410
BS,BS2,BC1P2,1,1,88,38,3344,3344
CR,CR2,BC1P2,1,1,55,54,2970,2970
CR,CR2,BC1P2,1,1,82,37,3034,3034
BS,BS2,F1,1,0,84,27,2268,2268
CR,CR2,F2,1,1,114,44,5016,5016
CR,CR2,BC1P2,1,1,41,47,1927,1927
CR,CR2,F2,1,1,94,42,3948,3948
BS,BS2,BC1P1,1,1,119,49,5831,5831
CR,CR2,BC1P2,1,1,83,14,1162,1162
BS,BS1,F2,1,1,78,50,3900,3900
BS,BS2,BC1P2,1,1,104,47,4888,4888
BS,BS2,rF1,1,0,42,32,1344,1344
CR,CR2,BC1P2,1,1,94,26,2444,2444
BS,BS1,P2,1,1,68,41,2788,2788
CR,CR2,BC1P1,1,1,101,39,3939,3939
BS,BS1,F2,1,1,73,42,3066,3066
BS,BS1,F2,1,1,89,36,3204,3204
BS,BS1,BC1P1,1,1,144,24,3456,3456
CR,CR1,F2,1,1,117,39,4563,4563
BS,BS2,F2,1,1,121,42,5082,5082
BS,BS2,BC1P2,1,1,80,51,4080,4080
BS,BS1,BC1P2,1,1,96,35,3360,3360
CR,CR2,BC1P1,1,1,116,48,5568,5568
BS,BS1,BC1P1,1,1,119,7,833,833
CR,CR2,BC1P2,1,1,62,41,2542,2542
BS,BS2,rF2,1,1,128,,,
BS,BS2,P2,1,1,84,48,4032,4032
BS,BS1,BC1P1,1,1,139,48,6672,6672
CR,CR2,rF2,1,1,76,50,3800,3800
CR,CR2,rF1,1,1,84,49,4116,4116
BS,BS1,BC1P1,1,1,175,40,7000,7000
BS,BS1,P2,1,1,71,42,2982,2982
CR,CR2,BC1P2,1,1,94,49,4606,4606
CR,CR1,rF1,1,1,97,49,4753,4753
BS,BS1,rF2,1,1,105,49,5145,5145
BS,BS1,BC1P2,1,1,71,48,3408,3408
BS,BS2,BC1P1,0,,,,,0
CR,CR2,rF2,1,1,88,39,3432,3432
CR,CR1,rF2,1,1,114,52,5928,5928
BS,BS1,BC1P2,1,0,94,9,846,846
CR,CR1,F2,1,1,68,40,2720,2720
CR,CR2,BC1P2,1,1,90,54,4860,4860
BS,BS2,F1,1,0,118,18,2124,2124
CR,CR1,BC1P1,1,1,138,50,6900,6900
BS,BS2,rF2,1,1,84,36,3024,3024
BS,BS1,BC1P2,1,1,104,34,3536,3536
CR,CR1,rF2,1,1,116,52,6032,6032
BS,BS2,F2,1,1,106,53,5618,5618
