PopSet,LinePair,JointScaleCrossType,AliveYoN,SizeCat,FruitNum,SeedNumPerFruit,FxS,Cumulfit
BS,BS2,BC1P2,1,1,82,45,3690,3690
BS,BS1,rF2,1,0,126,40,5040,5040
BS,BS2,rF2,1,1,120,32,3840,3840
BS,BS2,BC1P1,1,1,110,50,5500,5500
BS,BS2,rF2,1,1,128,45,5760,5760
BS,BS2,P2,1,1,96,42,4032,4032
CR,CR1,BC1P2,1,1,92,50,4600,4600
CR,CR2,F2,1,1,97,40,3880,3880
BS,BS1,BC1P1,1,1,119,45,5355,5355
CR,CR2,rF2,1,1,115,37,4255,4255
BS,BS1,rF2,1,1,116,42,4872,4872
CR,CR2,rF2,1,1,94,47,4418,4418
BS,BS1,P2,1,1,78,41,3198,3198
BS,BS2,BC1P2,1,1,101,39,3939,3939
CR,CR2,P2,1,1,40,46,1840,1840
CR,CR1,rF2,1,1,93,40,3720,3720
CR,CR2,BC1P2,1,1,78,46,3588,3588
BS,BS2,rF2,1,1,143,38,5434,5434
BS,BS1,BC1P2,1,1,105,44,4620,4620
CR,CR1,rF2,1,1,95,53,5035,5035
CR,CR2,BC1P2,1,1,87,51,4437,4437
BS,BS2,BC1P2,1,1,107,49,5243,5243
CR,CR2,BC1P1,1,1,106,51,5406,5406
CR,CR2,F2,1,1,106,47,4982,4982
CR,CR2,BC1P1,1,1,101,41,4141,4141
BS,BS1,F2,1,1,78,35,2730,2730
BS,BS2,rF2,1,1,135,49,6615,6615
BS,BS2,BC1P1,1,1,126,39,4914,4914
CR,CR2,rF1,1,1,89,54,4806,4806
BS,BS1,BC1P1,1,1,121,33,3993,3993
BS,BS2,F2,1,1,91,46,4186,4186
CR,CR1,BC1P2,1,1,99,53,5247,5247
BS,BS2,F2,1,1,122,49,5978,5978
BS,BS1,rF2,1,0,33,31,1023,1023
BS,BS1,F2,1,1,67,57,3819,3819
CR,CR1,BC1P2,1,1,77,60,4620,4620
BS,BS1,BC1P1,1,1,138,45,6210,6210
CR,CR2,F2,1,1,102,40,4080,4080
CR,CR2,rF2,1,1,101,34,3434,3434
BS,BS2,BC1P1,0,,,,,0
BS,BS2,rF2,1,0,65,25,1625,1625
CR,CR2,BC1P1,1,1,105,48,5040,5040
BS,BS1,rF2,1,1,110,25,2750,2750
CR,CR2,rF2,1,1,114,48,5472,5472
BS,BS1,rF2,0,,,,,0
BS,BS2,F2,1,1,126,46,5796,5796
CR,CR2,P2,1,1,33,44,1452,1452
BS,BS2,BC1P2,1,1,111,42,4662,4662
BS,BS2,P1,1,1,138,58,8004,8004
CR,CR1,rF1,1,1,96,47,4512,4512
CR,CR1,P2,1,1,73,53,3869,3869
CR,CR2,P2,1,1,40,65,2600,2600
BS,BS1,BC1P1,1,1,103,62,6386,6386
BS,BS1,F2,1,1,77,50,3850,3850
CR,CR2,F2,1,1,87,48,4176,4176
CR,CR1,P1,1,1,115,55,6325,6325
BS,BS1,rF2,1,1,111,41,4551,4551
CR,CR2,rF2,1,1,95,63,5985,5985
BS,BS2,BC1P1,1,0,8,18,144,144
BS,BS1,F2,1,1,119,20,2380,2380
BS,BS2,BC1P1,1,1,149,42,6258,6258
CR,CR2,BC1P1,1,1,107,47,5029,5029
CR,CR2,BC1P2,1,1,88,43,3784,3784
BS,BS2,rF2,1,1,165,37,6105,6105
BS,BS2,F2,1,0,3,6,18,18
CR,CR2,F2,1,1,80,58,4640,4640
CR,CR2,rF1,1,1,93,51,4743,4743
BS,BS2,BC1P1,1,1,115,54,6210,6210
CR,CR2,F2,1,1,102,53,5406,5406
CR,CR2,BC1P2,1,1,79,39,3081,3081
CR,CR2,F2,1,1,111,52,5772,5772
CR,CR1,BC1P1,1,1,95,42,3990,3990
BS,BS1,rF1,1,1,155,32,4960,4960
BS,BS2,rF2,1,1,149,41,6109,6109
CR,CR1,BC1P1,1,1,82,46,3772,3772
CR,CR2,rF2,1,1,87,52,4524,4524
BS,BS2,BC1P1,1,1,142,46,6532,6532
BS,BS1,BC1P1,1,1,169,28,4732,4732
CR,CR2,BC1P2,1,1,83,47,3901,3901
CR,CR1,F2,1,1,107,47,5029,5029
BS,BS2,BC1P1,0,,,,,0
BS,BS2,rF1,1,1,120,50,6000,6000
BS,BS1,BC1P1,1,1,101,47,4747,4747
CR,CR2,BC1P1,1,1,120,35,4200,4200
CR,CR2,F2,1,1,74,61,4514,4514
BS,BS2,BC1P2,1,1,74,45,3330,3330
BS,BS2,P1,1,1,126,35,4410,4410
BS,BS1,P2,1,1,65,39,2535,2535
BS,BS2,BC1P1,1,1,140,36,5040,5040
CR,CR1,BC1P2,1,1,80,45,3600,3600
BS,BS2,BC1P1,1,1,144,46,6624,6624
BS,BS1,rF2,1,1,116,37,4292,4292
CR,CR2,BC1P2,1,1,79,53,4187,4187
CR,CR2,P1,1,1,116,49,5684,5684
CR,CR1,P2,1,1,93,40,3720,3720
BS,BS2,BC1P1,1,0,88,21,1848,1848
BS,BS2,P1,1,1,117,49,5733,5733
BS,BS2,BC1P2,0,,,,,0
CR,CR2,rF2,1,1,89,43,3827,3827
CR,CR2,rF2,1,1,102,46,4692,4692
CR,CR2,BC1P2,1,1,62,50,3100,3100
CR,CR2,F2,1,1,77,39,3003,3003
CR,CR2,P1,1,1,109,38,4142,4142
CR,CR2,rF2,1,1,95,59,5605,5605
BS,BS1,BC1P1,1,1,110,46,5060,5060
BS,BS1,rF2,1,1,131,33,4323,4323
BS,BS1,F2,1,1,135,19,2565,2565
CR,CR1,rF2,1,1,92,44,4048,4048
CR,CR2,rF2,1,1,86,51,4386,4386
BS,BS1,BC1P1,1,1,126,31,3906,3906
BS,BS2,F2,1,1,114,37,4218,4218
CR,CR2,rF2,1,1,44,52,2288,2288
BS,BS2,BC1P1,1,0,114,34,3876,3876
BS,BS2,BC1P2,1,1,113,39,4407,4407
CR,CR1,rF2,1,1,101,50,5050,5050
CR,CR2,F2,1,1,104,54,5616,5616
BS,BS1,P1,1,1,126,43,5418,5418
BS,BS2,BC1P1,1,1,167,48,8016,8016
CR,CR1,BC1P2,0,,,,,0
CR,CR2,BC1P1,1,1,111,49,5439,5439
CR,CR1,F2,1,1,89,38,3382,3382
BS,BS1,rF2,1,1,129,45,5805,5805
CR,CR2,P2,1,1,33,43,1419,1419
BS,BS2,P2,1,1,111,47,5217,5217
BS,BS2,rF1,1,0,104,29,3016,3016
CR,CR1,F1,1,1,136,23,3128,3128
BS,BS1,P1,1,1,123,59,7257,7257
BS,BS1,BC1P2,1,1,120,43,5160,5160
BS,BS2,BC1P1,1,0,107,22,2354,2354
CR,CR2,F2,1,1,92,50,4600,4600
CR,CR1,BC1P2,1,1,84,49,4116,4116
BS,BS1,BC1P2,1,0,63,25,1575,1575
BS,BS1,BC1P2,1,1,108,35,3780,3780
CR,CR2,F2,1,1,89,45,4005,4005
BS,BS1,rF2,0,,,,,0
BS,BS2,F1,1,0,71,27,1917,1917
CR,CR2,BC1P2,1,1,85,46,3910,3910
BS,BS2,rF2,1,1,139,11,1529,1529
CR,CR2,P1,1,1,125,47,5875,5875
BS,BS2,BC1P1,0,,,,,0
BS,BS1,BC1P1,1,1,143,31,4433,4433
BS,BS1,P2,1,1,83,44,3652,3652
CR,CR1,rF1,1,1,84,,,
CR,CR1,BC1P2,1,1,78,48,3744,3744
BS,BS1,F2,1,1,78,39,3042,3042
CR,CR1,F2,1,1,118,51,6018,6018
BS,BS1,BC1P1,1,1,169,32,5408,5408
CR,CR2,BC1P2,1,1,76,49,3724,3724
CR,CR2,P2,1,1,47,52,2444,2444
CR,CR2,BC1P2,1,1,108,47,5076,5076
CR,CR2,F2,1,1,93,56,5208,5208
CR,CR1,BC1P2,1,1,90,51,4590,4590
BS,BS2,BC1P1,1,1,117,44,5148,5148
CR,CR1,BC1P2,1,1,98,42,4116,4116
CR,CR2,F2,1,1,87,48,4176,4176
CR,CR2,F2,1,1,44,37,1628,1628
BS,BS1,BC1P1,1,0,157,25,3925,3925
CR,CR2,rF2,1,1,124,48,5952,5952
BS,BS2,rF2,1,1,152,40,6080,6080
BS,BS2,BC1P2,1,1,121,50,6050,6050
BS,BS2,rF1,1,1,129,47,6063,6063
CR,CR1,BC1P2,1,1,79,61,4819,4819
CR,CR1,BC1P1,1,1,130,46,5980,5980
CR,CR1,BC1P2,1,1,103,38,3914,3914
CR,CR2,BC1P2,1,1,118,48,5664,5664
BS,BS2,BC1P2,1,1,176,37,6512,6512
BS,BS1,F1,1,1,105,50,5250,5250
BS,BS1,rF2,1,1,143,45,6435,6435
BS,BS2,P2,1,1,65,48,3120,3120
BS,BS2,BC1P2,1,1,88,57,5016,5016
CR,CR1,BC1P2,1,1,107,44,4708,4708
CR,CR2,rF2,1,1,91,46,4186,4186
CR,CR2,BC1P1,1,1,131,52,6812,6812
CR,CR2,F2,1,1,95,52,4940,4940
BS,BS2,F2,1,0,91,28,2548,2548
BS,BS1,BC1P1,1,1,170,45,7650,7650
BS,BS2,BC1P1,1,1,149,22,3278,3278
CR,CR2,F2,1,1,69,32,2208,2208
BS,BS1,F2,0,,,,,0
BS,BS2,rF1,1,1,149,41,6109,6109
CR,CR2,F1,1,1,107,49,5243,5243
BS,BS1,BC1P2,1,1,130,42,5460,5460
CR,CR2,rF1,1,1,111,49,5439,5439
CR,CR2,P1,1,1,123,47,5781,5781
BS,BS1,F2,1,1,121,38,4598,4598
CR,CR1,BC1P1,1,1,95,49,4655,4655
CR,CR2,P2,1,1,63,41,2583,2583
CR,CR1,P1,1,1,99,55,5445,5445
CR,CR2,BC1P1,1,1,70,38,2660,2660
BS,BS2,F1,1,0,87,26,2262,2262
CR,CR1,BC1P2,1,1,104,41,4264,4264
CR,CR2,P1,1,1,139,48,6672,6672
BS,BS1,rF2,1,0,17,20,340,340
CR,CR2,F2,1,1,102,45,4590,4590
CR,CR1,P1,1,1,113,34,3842,3842
CR,CR2,rF1,1,1,117,58,6786,6786
CR,CR2,rF2,1,1,105,49,5145,5145
BS,BS1,F2,1,1,106,48,5088,5088
BS,BS1,rF2,1,1,100,36,3600,3600
CR,CR1,BC1P1,1,1,86,45,3870,3870
BS,BS1,BC1P2,1,1,100,45,4500,4500
CR,CR2,F2,1,1,88,41,3608,3608
BS,BS2,rF1,1,1,111,52,5772,5772
BS,BS2,BC1P2,1,1,102,50,5100,5100
BS,BS2,BC1P2,1,1,97,49,4753,4753
BS,BS2,BC1P1,1,1,107,49,5243,5243
BS,BS2,BC1P1,1,0,118,33,3894,3894
CR,CR2,BC1P2,1,1,68,33,2244,2244
CR,CR1,P2,1,1,80,53,4240,4240
CR,CR2,BC1P2,1,1,69,55,3795,3795
BS,BS1,BC1P1,0,,,,,0
BS,BS2,P1,1,1,154,36,5544,5544
CR,CR1,BC1P2,1,1,106,48,5088,5088
BS,BS1,F2,1,1,77,58,4466,4466
CR,CR1,BC1P1,1,1,115,53,6095,6095
CR,CR2,F2,1,1,88,53,4664,4664
CR,CR1,F2,1,1,133,28,3724,3724
BS,BS1,BC1P2,1,1,96,47,4512,4512
CR,CR2,BC1P2,1,1,67,51,3417,3417
CR,CR2,BC1P1,1,1,108,47,5076,5076
CR,CR1,rF2,1,1,96,40,3840,3840
CR,CR2,BC1P2,1,1,97,43,4171,4171
CR,CR2,F2,1,1,93,46,4278,4278
BS,BS2,F2,1,1,111,43,4773,4773
CR,CR1,BC1P1,1,1,105,46,4830,4830
BS,BS1,BC1P1,1,1,133,53,7049,7049
BS,BS1,F2,1,1,104,35,3640,3640
CR,CR2,BC1P1,1,1,115,50,5750,5750
BS,BS2,F2,1,1,109,54,5886,5886
CR,CR1,BC1P1,1,1,104,53,5512,5512
CR,CR2,F2,1,1,86,51,4386,4386
CR,CR2,rF2,1,1,111,42,4662,4662
CR,CR1,rF2,1,1,118,51,6018,6018
BS,BS1,rF2,1,1,134,38,5092,5092
CR,CR1,F2,1,1,97,54,5238,5238
CR,CR1,F1,0,,,,,0
BS,BS2,rF2,1,0,46,13,598,598
BS,BS1,BC1P2,1,1,112,36,4032,4032
CR,CR1,BC1P1,1,1,143,37,5291,5291
CR,CR1,rF2,1,1,105,45,4725,4725
BS,BS2,BC1P2,1,1,136,42,5712,5712
CR,CR1,rF1,1,1,95,43,4085,4085
CR,CR2,rF2,1,1,83,57,4731,4731
CR,CR1,BC1P2,1,1,115,33,3795,3795
CR,CR1,BC1P1,1,1,115,51,5865,5865
CR,CR2,F2,1,1,124,55,6820,6820
CR,CR2,BC1P2,1,1,114,38,4332,4332
CR,CR2,F2,1,1,115,46,5290,5290
BS,BS1,BC1P2,1,1,113,36,4068,4068
CR,CR1,F2,1,1,112,47,5264,5264
CR,CR1,BC1P1,1,1,111,35,3885,3885
BS,BS2,BC1P2,1,1,151,6,906,906
BS,BS1,BC1P1,1,1,147,30,4410,4410
BS,BS2,BC1P1,1,1,176,25,4400,4400
BS,BS1,F2,1,1,87,43,3741,3741
BS,BS1,BC1P2,1,1,102,40,4080,4080
CR,CR2,rF2,1,1,111,57,6327,6327
CR,CR2,rF2,1,1,116,50,5800,5800
BS,BS1,rF2,1,1,122,,,
BS,BS1,rF2,1,1,136,30,4080,4080
CR,CR2,P1,1,1,142,40,5680,5680
BS,BS1,BC1P1,0,,,,,0
CR,CR2,rF1,1,1,107,50,5350,5350
CR,CR2,BC1P1,1,1,130,49,6370,6370
CR,CR2,BC1P2,1,1,116,32,3712,3712
CR,CR1,BC1P2,1,1,101,51,5151,5151
BS,BS2,F2,1,1,154,25,3850,3850
CR,CR2,F2,1,1,88,44,3872,3872
CR,CR1,BC1P2,1,1,100,34,3400,3400
BS,BS1,F2,1,1,92,45,4140,4140
BS,BS2,F2,1,1,120,31,3720,3720
BS,BS2,BC1P2,1,1,92,45,4140,4140
CR,CR1,BC1P1,1,1,130,50,6500,6500
CR,CR2,BC1P2,1,1,98,43,4214,4214
CR,CR2,rF2,1,1,107,38,4066,4066
CR,CR2,rF2,1,1,108,43,4644,4644
CR,CR2,F2,1,1,89,43,3827,3827
CR,CR2,rF2,1,1,134,41,5494,5494
BS,BS2,P2,1,1,105,43,4515,4515
CR,CR2,F2,1,1,103,50,5150,5150
BS,BS1,F2,1,1,70,47,3290,3290
BS,BS2,BC1P1,1,0,27,35,945,945
CR,CR2,BC1P1,1,1,103,43,4429,4429
BS,BS2,F2,1,0,22,28,616,616
BS,BS1,BC1P2,1,1,99,51,5049,5049
BS,BS1,P1,1,1,142,53,7526,7526
CR,CR1,rF2,1,1,113,41,4633,4633
BS,BS2,BC1P2,1,1,100,50,5000,5000
CR,CR1,F2,1,1,103,47,4841,4841
BS,BS1,BC1P2,1,0,40,27,1080,1080
CR,CR1,rF1,1,1,110,47,5170,5170
BS,BS2,BC1P1,1,1,188,52,9776,9776
BS,BS1,F2,1,1,146,36,5256,5256
CR,CR1,BC1P2,1,1,95,55,5225,5225
BS,BS2,rF2,1,1,124,46,5704,5704
BS,BS2,BC1P2,1,0,65,11,715,715
CR,CR1,P2,1,1,82,48,3936,3936
CR,CR2,rF2,1,1,117,50,5850,5850
BS,BS1,rF2,1,1,102,50,5100,5100
BS,BS1,F2,1,1,120,40,4800,4800
BS,BS2,F2,1,1,125,53,6625,6625
CR,CR1,BC1P2,1,1,83,59,4897,4897
BS,BS1,BC1P2,1,1,98,39,3822,3822
BS,BS2,BC1P1,1,0,19,25,475,475
BS,BS1,F2,0,,,,,0
BS,BS2,BC1P1,1,1,192,21,4032,4032
BS,BS1,P1,1,1,163,18,2934,2934
CR,CR2,rF2,1,1,107,57,6099,6099
BS,BS2,BC1P1,1,1,152,54,8208,8208
BS,BS2,P1,1,1,177,33,5841,5841
